2020-04-20 14:04:149 INFO  BankManagerLoginPage :43 - Clicking On Open Account Tab :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[contains(text(),'Open Account')]]
2020-04-20 14:04:811 INFO  OpenAccountPage :34 - Selecting Customer Name :Hermoine GrangerOn Customer Name Field :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:951 INFO  OpenAccountPage :40 - Selecting currency :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> id: currency]in the currency field :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> id: currency]
2020-04-20 14:04:970 INFO  OpenAccountPage :45 - Clicking On Process Button :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[contains(text(),'Process')]]
2020-04-20 14:04:128 INFO  AccountPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:218 INFO  HomePage :35 - Clicking On Customer Login :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[contains(text(),'Customer Login')]]
2020-04-20 14:04:767 INFO  CustomerLoginPage :44 - Selecting Customer Name From DropDown :Hermoine Grangerin dropdown field[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:961 INFO  CustomerLoginPage :38 - Clicking On Login Button :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[@class='btn btn-default']]
2020-04-20 14:04:572 INFO  AccountPage :107 - Clicking On LogOut Button :Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn logout']'
2020-04-20 14:04:636 INFO  CustomerLoginPage :52 - Checking Name Label Displayed :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //label[contains(text(),'Your Name :')]]
2020-04-20 14:04:733 INFO  BankManagerLoginPage :53 - Clicking On Home Button :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[@class='btn home']]
2020-04-20 14:04:853 INFO  HomePage :35 - Clicking On Customer Login :Proxy element for: DefaultElementLocator 'By.xpath: //button[contains(text(),'Customer Login')]'
2020-04-20 14:04:955 INFO  CustomerLoginPage :44 - Selecting Customer Name From DropDown :Hermoine Grangerin dropdown field[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //select[@id='userSelect']]
2020-04-20 14:04:182 INFO  CustomerLoginPage :38 - Clicking On Login Button :Proxy element for: DefaultElementLocator 'By.xpath: //button[@class='btn btn-default']'
2020-04-20 14:04:269 INFO  AccountPage :59 - Clicking On Deposit Button :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[contains(text(),'Deposit')]]
2020-04-20 14:04:794 INFO  AccountPage :65 - Entering Amount To Deposit : 100in deposit field : [[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //input[@placeholder='amount']]
2020-04-20 14:04:871 INFO  AccountPage :72 - Clicking on Deposit Button :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //button[@class='btn btn-default']]
2020-04-20 14:04:896 INFO  AccountPage :119 - Getting Error Message :[[ChromeDriver: chrome on WINDOWS (172c2ee774324c5aab53d8a9c3b8637e)] -> xpath: //span[@class='error ng-binding']]
